 GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,[Age],[Sex],Latitude,Longitude
20,Andorra,2014,0,2014,18+,FEMALE,42.546245,1.601554
31,Azerbaijan,2014,0,2014,18+,FEMALE,40.143105,47.576927
32,Argentina,2014,0,2014,18+,FEMALE,-38.416097,-63.616672
51,Armenia,2014,0,2014,18+,FEMALE,40.069099,45.038189
56,Belgium,2014,1,2014,18+,FEMALE,50.503887,4.469936
68,Bolivia (Plurinational State of),2014,13,2014,18+,FEMALE,#N/A,#N/A
70,Bosnia and Herzegovina,2014,4,2014,18+,FEMALE,43.915886,17.679076
100,Bulgaria,2014,60,2014,18+,FEMALE,42.733883,25.48583
112,Belarus,2014,0,2014,18+,FEMALE,53.709807,27.953389
191,Croatia,2014,1,2014,18+,FEMALE,45.1,15.2
196,Cyprus,2014,7,2014,18+,FEMALE,35.126413,33.429859
218,Ecuador,2014,5,2014,18+,FEMALE,-1.831239,-78.183406
246,Finland,2014,5,2014,18+,FEMALE,61.92411,25.748151
348,Hungary,2014,11,2014,18+,FEMALE,47.162494,19.503304
372,Ireland,2014,1,2014,18+,FEMALE,53.41291,-8.24389
392,Japan,2014,3,2014,18+,FEMALE,36.204824,138.252924
428,Latvia,2014,22,2014,18+,FEMALE,56.879635,24.603189
440,Lithuania,2014,10,2014,18+,FEMALE,55.169438,23.881275
498,Republic of Moldova,2014,31,2014,18+,FEMALE,#N/A,#N/A
528,Netherlands,2014,27,2014,18+,FEMALE,52.132633,5.291266
566,Nigeria,2014,9,2014,18+,FEMALE,9.081999,8.675277
578,Norway,2014,4,2014,18+,FEMALE,60.472024,8.468946
604,Peru,2014,0,2014,18+,FEMALE,-9.189967,-75.015152
616,Poland,2014,5,2014,18+,FEMALE,51.919438,19.145136
688,Serbia,2014,3,2014,18+,FEMALE,44.016521,21.005859
703,Slovakia,2014,12,2014,18+,FEMALE,48.669026,19.699024
804,Ukraine,2014,5,2014,18+,FEMALE,48.379433,31.16558
818,Egypt,2014,4,2014,18+,FEMALE,26.820553,30.802498
